participant,condition,gender,age,region,distanceLondon,stimulus,response,reactionTime
f7,femaleFace,female,26,midlands,112.967,9,boo,1.944168354
f7,femaleFace,female,26,midlands,112.967,9,boo,2.269893072
f7,femaleFace,female,26,midlands,112.967,10,boo,2.342619791
f7,femaleFace,female,26,midlands,112.967,10,boo,2.182193244
f7,femaleFace,female,26,midlands,112.967,10,boo,2.047663382
f7,femaleFace,female,26,midlands,112.967,11,boo,2.269443786
f7,femaleFace,female,26,midlands,112.967,11,boo,2.263951041
f7,femaleFace,female,26,midlands,112.967,11,boo,2.130223405
f8,maleFace,female,21,midlands,87.712,1,bee,2.2717065
f8,maleFace,female,21,midlands,87.712,1,bee,2.181765629
f8,maleFace,female,21,midlands,87.712,1,bee,2.481918492
f8,maleFace,female,21,midlands,87.712,2,bee,2.164543128
f8,maleFace,female,21,midlands,87.712,2,bee,2.29756078
f8,maleFace,female,21,midlands,87.712,2,bee,2.340425335
f8,maleFace,female,21,midlands,87.712,3,bee,2.267680147
f8,maleFace,female,21,midlands,87.712,3,bee,2.862664637
f8,maleFace,female,21,midlands,87.712,3,boo,2.336563201
f8,maleFace,female,21,midlands,87.712,4,boo,2.336915809
f8,maleFace,female,21,midlands,87.712,4,boo,2.823277824
f8,maleFace,female,21,midlands,87.712,4,boo,2.447168889
f8,maleFace,female,21,midlands,87.712,5,boo,2.231138037
f8,maleFace,female,21,midlands,87.712,5,boo,2.232942794
f8,maleFace,female,21,midlands,87.712,5,boo,2.426629223
f8,maleFace,female,21,midlands,87.712,6,boo,2.246208139
f8,maleFace,female,21,midlands,87.712,6,boo,2.493465826
f8,maleFace,female,21,midlands,87.712,6,boo,2.063648232
f8,maleFace,female,21,midlands,87.712,7,boo,2.176587092
f8,maleFace,female,21,midlands,87.712,7,boo,2.102925455
f8,maleFace,female,21,midlands,87.712,7,boo,2.255805368
f8,maleFace,female,21,midlands,87.712,8,boo,2.113474891
f8,maleFace,female,21,midlands,87.712,8,boo,2.454899116
f8,maleFace,female,21,midlands,87.712,8,boo,2.273153021
f8,maleFace,female,21,midlands,87.712,9,boo,2.399562501
f8,maleFace,female,21,midlands,87.712,9,boo,2.430024524
f8,maleFace,female,21,midlands,87.712,9,boo,2.285333393
f8,maleFace,female,21,midlands,87.712,10,boo,2.280209155
f8,maleFace,female,21,midlands,87.712,10,boo,2.030207416
f8,maleFace,female,21,midlands,87.712,10,boo,2.513595936
f8,maleFace,female,21,midlands,87.712,11,boo,3.067873899
f8,maleFace,female,21,midlands,87.712,11,boo,2.147214678
